,kanji,strokes,frequency,grade,jlpt,parts,radicals,on_readings,kun_readings,on_readings_compounds,kun_readings_compounds,main_meaning,wanikani_level,Number of Appearances on Twitter,Percentage of Appearances on Twitter,Rank of Appearances on Twitter,Number of Appearances on Wikipedia,Percentage of Appearances on Wikipedia,Rank of Appearances on Wikipedia,Number of Appearances on News,Percentage of Appearances on News,Rank of Appearances on News,Number of Appearances on Aozora,Percentage of Appearances on Aozora,Rank of Appearances on Aozora,Genki_Lesson
0,亜,7.0,1509.0,junior high,N1,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji'}",{'二': 'two'},{'ア': 'http:////jisho.org/search/%E4%BA%9C%20%E3%81%82'},{'つ.ぐ': 'http:////jisho.org/search/%E4%BA%9C%20%E3%81%A4%E3%81%90'},"['亜  【ア】  sub-, -ous (indicating a low oxidation state), -ite', '亜鉛  【アエン】  zinc (Zn)', '東亜  【トウア】  East Asia, the Orient', '印度尼西亜  【インドネシア】  Indonesia']","['次ぐ  【つぐ】  to rank next to, to come after']","['Asia', 'rank next', 'come after', '-ous']",59.0,637.0,6.366876410433041e-05,1391.0,172858.0,0.00022032349785461807,836.0,689.0,6.677292186482718e-05,1306.0,3506.0,6.810500976644488e-05,1710.0,
1,哀,9.0,1715.0,junior high,N1,"{'亠': 'http:////jisho.org/search/%E4%BA%A0%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '衣': 'http:////jisho.org/search/%E8%A1%A3%20%23kanji'}","{'口': 'mouth, opening'}",{'アイ': 'http:////jisho.org/search/%E5%93%80%20%E3%81%82%E3%81%84'},"{'あわ.れ': 'http:////jisho.org/search/%E5%93%80%20%E3%81%82%E3%82%8F%E3%82%8C', 'あわ.れむ': 'http:////jisho.org/search/%E5%93%80%20%E3%81%82%E3%82%8F%E3%82%8C%E3%82%80', 'かな.しい': 'http:////jisho.org/search/%E5%93%80%20%E3%81%8B%E3%81%AA%E3%81%97%E3%81%84'}","['哀悼  【アイトウ】  condolence, regret, tribute, sorrow, sympathy, lament', '哀愁  【アイシュウ】  pathos, sorrow, grief', '哀々  【アイアイ】  deeply sad']","['哀れ  【あわれ】  pity, sorrow, grief, misery, compassion, pathos, pitiable, pitiful, pathetic, miserable, alack, alas', '哀れむ  【あわれむ】  to pity, to feel sympathy for, to sympathize with, to sympathise with, to commiserate with, to have mercy on, to enjoy the beauty of, to appreciate, to admire', '哀れむ  【あわれむ】  to pity, to feel sympathy for, to sympathize with, to sympathise with, to commiserate with, to have mercy on, to enjoy the beauty of, to appreciate, to admire', '悲しい  【かなしい】  sad, miserable, unhappy, sorrowful, sad, lamentable, deplorable, grievous', '悲しいかな  【かなしいかな】  sad to say, how sad, alas']","['pathetic', 'grief', 'sorrow', 'pathos', 'pity', 'sympathize']",47.0,762.0,7.616263461145962e-05,1307.0,19390.0,2.4714347171672965e-05,1884.0,167.0,1.618443824590151e-05,1842.0,10141.0,0.00019699170109569808,971.0,
2,挨,10.0,2258.0,junior high,,"{'厶': 'http:////jisho.org/search/%E5%8E%B6%20%23kanji', '扎': 'http:////jisho.org/search/%E6%89%8E%20%23kanji', '矢': 'http:////jisho.org/search/%E7%9F%A2%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}",{'手 (扌龵)': 'hand'},{'アイ': 'http:////jisho.org/search/%E6%8C%A8%20%E3%81%82%E3%81%84'},{'ひら.く': 'http:////jisho.org/search/%E6%8C%A8%20%E3%81%B2%E3%82%89%E3%81%8F'},"['挨拶  【アイサツ】  greeting, greetings, salutation, salute, polite set phrase used when meeting or parting from somebody, polite set phrase used to express apology, sympathy, congratulations, etc., speech (congratulatory or appreciative), address, reply, response, revenge, retaliation, a fine thing to say, dialoging (with another Zen practitioner to ascertain their level of enlightenment), relationship (between people), connection, intervention, mediation, mediator', '挨拶代わり  【アイサツガワリ】  substitute for a proper greeting (e.g. gift)']",,"['approach', 'draw near', 'push open']",44.0,781.0,7.806170292854325e-05,1292.0,12111.0,1.54365888909815e-05,2138.0,13.0,1.2598664502797579e-06,2634.0,6784.0,0.00013178105711795834,1249.0,
3,愛,13.0,640.0,grade 4,N3,"{'冖': 'http:////jisho.org/search/%E5%86%96%20%23kanji', '夂': 'http:////jisho.org/search/%E5%A4%82%20%23kanji', '心': 'http:////jisho.org/search/%E5%BF%83%20%23kanji', '爪': 'http:////jisho.org/search/%E7%88%AA%20%23kanji'}","{'心 (忄, ⺗)': 'heart'}",{'アイ': 'http:////jisho.org/search/%E6%84%9B%20%E3%81%82%E3%81%84'},"{'いと.しい': 'http:////jisho.org/search/%E6%84%9B%20%E3%81%84%E3%81%A8%E3%81%97%E3%81%84', 'かな.しい': 'http:////jisho.org/search/%E6%84%9B%20%E3%81%8B%E3%81%AA%E3%81%97%E3%81%84', 'め.でる': 'http:////jisho.org/search/%E6%84%9B%20%E3%82%81%E3%81%A7%E3%82%8B', 'お.しむ': 'http:////jisho.org/search/%E6%84%9B%20%E3%81%8A%E3%81%97%E3%82%80', 'まな': 'http:////jisho.org/search/%E6%84%9B%20%E3%81%BE%E3%81%AA'}","['愛  【アイ】  love, affection, care, attachment, craving, desire', '愛犬  【アイケン】  pet dog, beloved dog', '友愛  【ユウアイ】  fraternity, friendship', '同性愛  【ドウセイアイ】  homosexual love']","['愛しい  【いとしい】  lovely, dear, beloved, darling, dearest, pitiable, pitiful', '悲しい  【かなしい】  sad, miserable, unhappy, sorrowful, sad, lamentable, deplorable, grievous', '愛でる  【めでる】  to love, to cherish, to admire, to appreciate', '惜しむ  【おしむ】  to be frugal, to be sparing, to value, to hold dear, to regret (e.g. a loss), to feel sorry (for), to be unwilling, to be reluctant', '愛  【まな】  beloved, dear', ""愛弟子  【まなでし】  favorite pupil, favourite pupil, teacher's pet""]","['love', 'affection', 'favourite']",17.0,30561.0,0.0030546014125470045,56.0,754387.0,0.000961535957699683,269.0,5340.0,0.0005175143726533776,503.0,54392.0,0.001056579489793631,213.0,
4,曖,17.0,,junior high,,"{'冖': 'http:////jisho.org/search/%E5%86%96%20%23kanji', '夂': 'http:////jisho.org/search/%E5%A4%82%20%23kanji', '心': 'http:////jisho.org/search/%E5%BF%83%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '爪': 'http:////jisho.org/search/%E7%88%AA%20%23kanji'}","{'日': 'sun, day'}",{'アイ': 'http:////jisho.org/search/%E6%9B%96%20%E3%81%82%E3%81%84'},{'くら.い': 'http:////jisho.org/search/%E6%9B%96%20%E3%81%8F%E3%82%89%E3%81%84'},"['曖昧  【アイマイ】  vague, ambiguous, unclear, fuzzy', '曖曖  【アイアイ】  dim, faint, unclear', '曖曖  【アイアイ】  dim, faint, unclear']",,"['dark', 'not clear']",,133.0,1.329347821958547e-05,2068.0,116055.0,0.00014792282418816434,1025.0,30.0,2.9073841160302114e-06,2371.0,1001.0,1.9444699023448756e-05,2661.0,
5,悪,11.0,530.0,grade 3,N4,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '心': 'http:////jisho.org/search/%E5%BF%83%20%23kanji'}","{'心 (忄, ⺗)': 'heart'}","{'アク': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%82%E3%81%8F', 'オ': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%8A'}","{'わる.い': 'http:////jisho.org/search/%E6%82%AA%20%E3%82%8F%E3%82%8B%E3%81%84', 'わる-': 'http:////jisho.org/search/%E6%82%AA%20%E3%82%8F%E3%82%8B', 'あ.し': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%82%E3%81%97', 'にく.い': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%AB%E3%81%8F%E3%81%84', '-にく.い': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%AB%E3%81%8F%E3%81%84', 'ああ': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%82%E3%81%82', 'いずくに': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%84%E3%81%9A%E3%81%8F%E3%81%AB', 'いずくんぞ': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%84%E3%81%9A%E3%81%8F%E3%82%93%E3%81%9E', 'にく.む': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%AB%E3%81%8F%E3%82%80'}","['悪  【アク】  evil, wickedness', '悪質  【アクシツ】  malicious, vicious, malignant, underhanded, shoddy, inferior, poor-quality, second-rate', '害悪  【ガイアク】  harm, injury, evil (influence)', '改悪  【カイアク】  deterioration, changing for the worse', '悪寒  【オカン】  chill, shakes, ague', '悪血  【アクチ】  impure blood', '自己嫌悪  【ジコケンオ】  self-hatred, self-abhorrence, self-loathing', '好悪  【コウオ】  likes and dislikes']","['悪い  【わるい】  bad, poor, undesirable, poor (quality), inferior, insufficient, evil, sinful, ugly, not beautiful, at fault, to blame, in the wrong, bad (at doing something), unprofitable, unbeneficial, sorry, (my) bad, unforgivable', '悪い行い  【わるいおこない】  bad deed, evil deed', '悪し  【あし】  evil', ""悪しからず  【あしからず】  don't get me wrong, but ..., I'm sorry"", '難い  【にくい】  difficult to ..., hard to ...', '憎い  【にくい】  hateful, abominable, poor-looking, detestable, amazing, fantastic, admirable, lovely, wonderful', '憎む  【にくむ】  to hate, to detest']","['bad', 'vice', 'rascal', 'false', 'evil', 'wrong']",12.0,16971.0,0.0016962678110119176,131.0,258354.0,0.00032929605204695184,667.0,3428.0,0.0003322170916583855,663.0,58604.0,0.0011383987428273633,193.0,13
6,握,12.0,1003.0,junior high,N1,"{'厶': 'http:////jisho.org/search/%E5%8E%B6%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji', '尸': 'http:////jisho.org/search/%E5%B0%B8%20%23kanji', '扎': 'http:////jisho.org/search/%E6%89%8E%20%23kanji', '至': 'http:////jisho.org/search/%E8%87%B3%20%23kanji'}",{'手 (扌龵)': 'hand'},{'アク': 'http:////jisho.org/search/%E6%8F%A1%20%E3%81%82%E3%81%8F'},{'にぎ.る': 'http:////jisho.org/search/%E6%8F%A1%20%E3%81%AB%E3%81%8E%E3%82%8B'},"['握手  【アクシュ】  handshake', '握力  【アクリョク】  grip (of hand), grip strength', '一握  【イチアク】  handful', '動向把握  【ドウコウハアク】  grasping the trend, firmly understanding how the situation is developing, getting a good sense of how things are changing']","['握る  【にぎる】  to clasp, to grasp, to grip, to clutch, to make (nigirizushi, rice ball, etc.), to form, to press into shape, to mold, to mould, to seize (power, etc.), to take hold of']","['grip', 'hold', 'mould sushi', 'bribe']",42.0,1217.0,0.00012164032325740992,1078.0,39886.0,5.0838393568300566e-05,1535.0,1467.0,0.00014217108327387734,1008.0,9968.0,0.00019363112873700016,983.0,
7,圧,5.0,718.0,grade 5,N2,"{'厂': 'http:////jisho.org/search/%E5%8E%82%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji'}",{'土': 'earth'},"{'アツ': 'http:////jisho.org/search/%E5%9C%A7%20%E3%81%82%E3%81%A4', 'エン': 'http:////jisho.org/search/%E5%9C%A7%20%E3%81%88%E3%82%93', 'オウ': 'http:////jisho.org/search/%E5%9C%A7%20%E3%81%8A%E3%81%86'}","{'お.す': 'http:////jisho.org/search/%E5%9C%A7%20%E3%81%8A%E3%81%99', 'へ.す': 'http:////jisho.org/search/%E5%9C%A7%20%E3%81%B8%E3%81%99', 'おさ.える': 'http:////jisho.org/search/%E5%9C%A7%20%E3%81%8A%E3%81%95%E3%81%88%E3%82%8B', 'お.さえる': 'http:////jisho.org/search/%E5%9C%A7%20%E3%81%8A%E3%81%95%E3%81%88%E3%82%8B'}","['圧  【アツ】  pressure, force', '圧力  【アツリョク】  pressure, stress, pressure (e.g. political), coercion, arm-twisting', '高圧  【コウアツ】  high voltage, high pressure', '外圧  【ガイアツ】  external pressure, outside pressure, foreign pressure', '圧状  【オウジョウ】  document written under duress, coercion']","['押す  【おす】  to push, to press, to apply pressure from above, to press down, to stamp (i.e. a passport), to apply a seal, to affix (e.g. gold leaf), to press (someone for something), to urge, to compel, to influence, to overwhelm, to overpower, to repress, to push (events along), to advance (a plan), to do in spite of ..., to do even though ..., to force, to make sure, to be pressed for time, to advance troops, to attack, (of light) to be diffused across an entire surface', '圧す  【へす】  to dent, to press, to push']","['pressure', 'push', 'overwhelm', 'oppress', 'dominate']",20.0,1775.0,0.00017741296120123466,902.0,169022.0,0.00021543416130224386,848.0,5108.0,0.0004950306021560773,516.0,7699.0,0.00014955518259893302,1165.0,
8,扱,6.0,1057.0,junior high,N1,"{'扎': 'http:////jisho.org/search/%E6%89%8E%20%23kanji', '及': 'http:////jisho.org/search/%E5%8F%8A%20%23kanji'}",{'手 (扌龵)': 'hand'},"{'ソウ': 'http:////jisho.org/search/%E6%89%B1%20%E3%81%9D%E3%81%86', 'キュウ': 'http:////jisho.org/search/%E6%89%B1%20%E3%81%8D%E3%82%85%E3%81%86'}","{'あつか.い': 'http:////jisho.org/search/%E6%89%B1%20%E3%81%82%E3%81%A4%E3%81%8B%E3%81%84', 'あつか.う': 'http:////jisho.org/search/%E6%89%B1%20%E3%81%82%E3%81%A4%E3%81%8B%E3%81%86', 'あつか.る': 'http:////jisho.org/search/%E6%89%B1%20%E3%81%82%E3%81%A4%E3%81%8B%E3%82%8B', 'こ.く': 'http:////jisho.org/search/%E6%89%B1%20%E3%81%93%E3%81%8F'}","['扱い  【あつかい】  treatment, service', '扱い方  【あつかいかた】  how to manage (e.g. case), how to handle (e.g. machine), way with (e.g. children, animal)', '扱う  【あつかう】  to deal with (a person), to treat, to handle, to take care of, to entertain, to deal with (a problem), to handle, to manage, to operate (e.g. a machine), to handle, to work, to deal in, to sell, to cover (a topic), to treat, to discuss, to take up, to treat A as B, to mediate (an argument), to be too much for one, to find unmanageable, to gossip', '扱く  【こく】  to thresh, to strip']",,"['handle', 'entertain', 'thresh', 'strip']",38.0,856.0,8.555802523282078e-05,1251.0,173755.0,0.00022146680726219887,835.0,868.0,8.412031375714078e-05,1213.0,7247.0,0.00014077495886406904,1208.0,
9,宛,8.0,,junior high,,"{'卩': 'http:////jisho.org/search/%E5%8D%A9%20%23kanji', '夕': 'http:////jisho.org/search/%E5%A4%95%20%23kanji', '宀': 'http:////jisho.org/search/%E5%AE%80%20%23kanji'}",{'宀': 'roof'},{'エン': 'http:////jisho.org/search/%E5%AE%9B%20%E3%81%88%E3%82%93'},"{'あ.てる': 'http:////jisho.org/search/%E5%AE%9B%20%E3%81%82%E3%81%A6%E3%82%8B', '-あて': 'http:////jisho.org/search/%E5%AE%9B%20%E3%81%82%E3%81%A6', '-づつ': 'http:////jisho.org/search/%E5%AE%9B%20%E3%81%A5%E3%81%A4', 'あたか.も': 'http:////jisho.org/search/%E5%AE%9B%20%E3%81%82%E3%81%9F%E3%81%8B%E3%82%82'}","['宛然  【エンゼン】  as if, the very thing itself', '宛転  【エンテン】  eloquent, fluent, smooth-spoken, sonorous, facile, silver-tongued, (of eyebrows) shapely']","['宛てる  【あてる】  to address', '恰も  【あたかも】  as if, as it were, as though, right then, just then, at that moment']","['address', 'just like', 'fortunately']",,84.0,8.395880980790823e-06,2263.0,11860.0,1.5116666191647312e-05,2149.0,227.0,2.1999206477961933e-05,1731.0,4729.0,9.186211956232685e-05,1499.0,
